y,x
0.01,3.05
1.18,8.9
0.39,4.95
1.08,8.4
4.8,27.0
0.36,4.8
4.55,25.75
7.84,42.2
1.17,8.85
2.5,15.5
1.98,12.9
3.72,21.6
2.08,13.4
0.14,3.7
0.15,3.75
5.92,32.6
9.01,48.05
3.6,21.0
15.96,82.8
0.4,5.0
15.12,78.6
6.16,33.8
18.17,93.85
0.24,4.2
10.25,54.25
1.04,8.2
6.75,36.75
19.88,102.4
0.87,7.35
15.9,82.5
28.21,144.05
5.44,30.2
17.82,92.1
21.42,110.1
14.0,73.0
23.76,121.8
16.65,86.25
34.2,174.0
19.5,100.5
26.8,137.0
9.84,52.2
20.58,105.9
27.09,138.45
11.0,58.0
35.1,178.5
42.78,216.9
18.33,94.65
16.32,84.6
28.42,145.1
4.5,25.5
40.8,207.0
22.88,117.4
6.89,37.45
25.92,132.6
10.45,55.25
4.48,25.4
42.75,216.75
46.98,237.9
38.94,197.7
48.6,246.0
15.25,79.25
11.16,58.8
49.77,251.85
62.72,316.6
46.15,233.75
57.42,290.1
34.84,177.2
57.8,292.0
33.81,172.05
6.3,34.5
41.18,208.9
44.64,226.2
31.39,159.95
55.5,280.5
55.5,280.5
57.0,288.0
69.3,349.5
32.76,166.8
66.36,334.8
79.2,399.0
14.58,75.9
67.24,339.2
24.07,123.35
73.08,368.4
34.0,173.0
1.72,11.6
2.61,16.05
51.92,262.6
55.18,278.9
90.0,453.0
40.04,203.2
80.04,403.2
51.15,258.75
81.78,411.9
25.65,131.25
52.8,267.0
18.43,95.15
30.38,154.9
44.55,225.75
